ProjectID	BuildingID	AffordabilityBand	TotalUnits
63760	977463	Low Income	29
63760	977463	Other	1
63760	977463	Very Low Income	9
63941	5713	Extremely Low Income	160
63941	5713	Low Income	3
63941	5713	Moderate Income	6
63941	5713	Other	1
63941	5713	Very Low Income	13
63345	979242	Extremely Low Income	15
63345	979242	Low Income	113
63345	979242	Other	1
63345	979242	Very Low Income	15
64756	89504	Low Income	3
64756	89504	Very Low Income	4
64756	89505	Low Income	1
64756	89505	Other	1
64756	89505	Very Low Income	5
64756	89506	Low Income	4
64756	89506	Very Low Income	3
62962	975399	Extremely Low Income	19
62962	975399	Low Income	112
62962	975399	Moderate Income	19
62962	975399	Other	1
62962	975399	Very Low Income	38
49358	25199	Low Income	18
49358	25198	Low Income	17
49358	25198	Very Low Income	7
49358	25197	Very Low Income	22
47862	112023	Extremely Low Income	1
47862	112023	Low Income	13
47862	112023	Other	1
47862	112023	Very Low Income	22
44288	946784	Low Income	4
44288	947359	Low Income	3
44288	947360	Low Income	4
44288	947361	Low Income	4
63172	974500	Extremely Low Income	8
63172	974500	Low Income	23
63172	974500	Moderate Income	50
63172	974500	Other	1
63172	974500	Very Low Income	21
63367	982777	Extremely Low Income	71
63367	982777	Low Income	45
63367	982777	Other	1
63014	975336	Low Income	18
63014	975336	Other	1
63014	975336	Very Low Income	12
63122	974443	Extremely Low Income	121
63122	974443	Other	1
63151	988458	Extremely Low Income	36
63151	988458	Low Income	110
63151	988458	Other	1
63151	988458	Very Low Income	36
44265	957390	Moderate Income	4
44265	957420	Moderate Income	4
44265	957389	Moderate Income	4
44265	957388	Moderate Income	4
44265	957383	Moderate Income	4
44265	957382	Moderate Income	4
44265	957381	Moderate Income	4
44265	957384	Moderate Income	4
44265	957387	Moderate Income	4
48638	33876	Low Income	56
48638	33874	Extremely Low Income	39
48638	33874	Low Income	14
49171	806307	Low Income	62
49171	806307	Other	1
49171	806372	Low Income	64
49171	64618	Low Income	62
49171	113704	Low Income	62
49171	113704	Other	1
48891	88316	Low Income	16
48891	88316	Very Low Income	11
47850	63567	Low Income	5
47850	63567	Other	1
47850	63567	Very Low Income	5
47850	63568	Low Income	8
47850	63568	Moderate Income	2
63775	957258	Extremely Low Income	26
63775	957258	Low Income	75
63775	957258	Other	1
63775	957258	Very Low Income	25
63763	984726	Extremely Low Income	90
63763	984726	Low Income	244
63763	984726	Moderate Income	22
63763	984726	Other	1
63763	984726	Very Low Income	89
58671	976883	Extremely Low Income	54
58671	976883	Low Income	27
58671	976883	Very Low Income	8
52597	955365	Extremely Low Income	48
50675	227371	Other	157
48877	951076	Middle Income	1
48877	951065	Middle Income	1
48877	951391	Low Income	1
48877	951041	Low Income	1
48877	951028	Middle Income	1
48877	951071	Middle Income	1
48877	951069	Middle Income	1
48877	951054	Middle Income	1
48877	951067	Middle Income	1
48877	951079	Low Income	1
48877	951063	Middle Income	1
48877	951323	Low Income	1
48877	951318	Middle Income	1
48877	951330	Moderate Income	1
48877	951326	Low Income	1
48877	951322	Low Income	1
48877	951332	Middle Income	1
48877	951087	Moderate Income	1
48877	951056	Middle Income	1
48877	951333	Middle Income	1
48877	951390	Low Income	1
48877	951389	Low Income	1
48877	951099	Middle Income	1
48877	951024	Low Income	1
48877	951052	Moderate Income	1
48877	951039	Low Income	1
48877	951321	Low Income	1
48877	951032	Moderate Income	1
48877	951394	Moderate Income	1
48877	951045	Low Income	1
48877	951081	Low Income	1
48877	951388	Low Income	1
48877	951037	Low Income	1
48877	951085	Moderate Income	1
48877	951083	Low Income	1
48877	951105	Middle Income	1
48877	951338	Middle Income	1
48877	951047	Low Income	1
48877	951050	Moderate Income	1
48877	951034	Middle Income	1
48877	951401	Middle Income	1
48877	951073	Middle Income	1
48877	951327	Moderate Income	1
48877	951400	Middle Income	1
48877	951089	Moderate Income	1
48877	951035	Low Income	1
48877	951320	Low Income	1
48877	951107	Middle Income	1
48877	951392	Low Income	1
48877	951339	Middle Income	1
48877	951331	Middle Income	1
48877	951399	Middle Income	1
48877	951395	Moderate Income	1
48877	951336	Middle Income	1
48877	951095	Middle Income	1
48877	951043	Low Income	1
48877	951058	Middle Income	1
48877	951393	Moderate Income	1
48877	951319	Low Income	1
48877	951060	Middle Income	1
48877	951402	Middle Income	1
48877	951397	Middle Income	1
48877	951396	Moderate Income	1
48877	951334	Middle Income	1
48877	951103	Middle Income	1
48877	951329	Moderate Income	1
48877	951337	Middle Income	1
48877	951325	Low Income	1
48877	951335	Middle Income	1
48877	951324	Low Income	1
48877	951328	Moderate Income	1
48877	951093	Middle Income	1
48877	951031	Low Income	1
48877	950994	Middle Income	1
48877	951033	Middle Income	1
48877	951097	Middle Income	1
48877	951398	Middle Income	1
48877	951455	Moderate Income	1
48877	951387	Middle Income	1
48877	951091	Middle Income	1
48877	951101	Middle Income	1
51150	66602	Low Income	20
63877	975693	Extremely Low Income	114
63877	975693	Other	1
48049	41031	Low Income	2
48049	41031	Very Low Income	3
48049	38114	Low Income	6
48049	38114	Other	1
48049	38114	Very Low Income	3
48049	42401	Low Income	8
48049	42401	Very Low Income	3
48049	28357	Low Income	7
48049	28357	Very Low Income	3
48049	2630	Low Income	12
48049	2630	Moderate Income	4
48049	2630	Very Low Income	8
64671	983110	Low Income	4
64671	983110	Moderate Income	31
64671	983110	Other	1
58955	968078	Extremely Low Income	20
58955	968078	Low Income	139
58955	968078	Moderate Income	44
58955	968078	Very Low Income	20
51177	5659	Low Income	9
51177	41521	Low Income	12
51177	41519	Low Income	10
51177	21220	Low Income	20
51177	21191	Low Income	8
51177	21191	Other	1
51177	28152	Low Income	15
51177	5656	Low Income	12
51177	5656	Other	1
51177	5624	Low Income	7
51177	21221	Low Income	42
51177	21218	Low Income	15
51177	21219	Low Income	19
51177	21219	Other	1
51177	5661	Low Income	9
51177	21246	Low Income	35
51177	21246	Other	1
51177	804763	Low Income	30
51177	41937	Low Income	7
61388	975509	Low Income	43
61388	975509	Middle Income	35
61388	975509	Moderate Income	33
61388	975509	Other	141
61388	975509	Other	1
61388	975509	Very Low Income	10
61610	975569	Low Income	16
61610	975569	Moderate Income	28
61610	975569	Other	1
57533	355186	Extremely Low Income	3
57533	355186	Low Income	6
57533	355186	Other	1
57533	355186	Very Low Income	229
51561	57801	Extremely Low Income	2
51561	57801	Low Income	16
51561	57801	Very Low Income	3
51561	57798	Low Income	17
51561	57798	Moderate Income	1
51561	57798	Very Low Income	3
51561	57803	Extremely Low Income	1
51561	57803	Low Income	18
51561	57803	Moderate Income	1
51561	57803	Other	1
52888	116689	Extremely Low Income	1
52888	116689	Low Income	24
52888	116689	Moderate Income	2
52888	116689	Very Low Income	3
65227	60304	Extremely Low Income	27
65227	60304	Low Income	20
65227	60304	Very Low Income	2
65227	62843	Extremely Low Income	17
65227	62843	Low Income	16
65227	62843	Very Low Income	2
65227	62986	Extremely Low Income	21
65227	62986	Low Income	15
65227	62986	Moderate Income	2
65227	62986	Very Low Income	6
65227	62846	Extremely Low Income	16
65227	62846	Low Income	11
65227	62846	Moderate Income	1
65227	62846	Very Low Income	1
65227	60308	Extremely Low Income	37
65227	60308	Low Income	31
65227	60308	Moderate Income	3
65227	60308	Very Low Income	10
65227	60306	Extremely Low Income	16
65227	60306	Low Income	19
65227	60306	Moderate Income	1
65227	60306	Very Low Income	4
65227	62860	Extremely Low Income	17
65227	62860	Low Income	15
65227	62860	Very Low Income	2
65227	63080	Extremely Low Income	23
65227	63080	Low Income	18
65227	63080	Very Low Income	8
65227	63084	Extremely Low Income	29
65227	63084	Low Income	17
65227	63084	Moderate Income	1
65227	63084	Very Low Income	19
65227	63184	Extremely Low Income	17
65227	63184	Low Income	13
65227	63184	Moderate Income	2
65227	63184	Very Low Income	10
65227	63178	Extremely Low Income	23
65227	63178	Low Income	11
65227	63178	Very Low Income	6
65227	63177	Extremely Low Income	18
65227	63177	Low Income	15
65227	63177	Moderate Income	2
65227	63177	Very Low Income	8
65227	63183	Extremely Low Income	17
65227	63183	Low Income	5
65227	63183	Moderate Income	1
65227	63183	Very Low Income	6
65227	63173	Extremely Low Income	8
65227	63173	Low Income	13
65227	63173	Very Low Income	8
65227	806285	Extremely Low Income	19
65227	806285	Low Income	14
65227	806285	Very Low Income	3
65227	63193	Extremely Low Income	20
65227	63193	Low Income	9
65227	63193	Moderate Income	1
65227	63190	Extremely Low Income	16
65227	63190	Low Income	8
65227	63190	Moderate Income	2
65227	63190	Very Low Income	5
65227	63186	Extremely Low Income	10
65227	63186	Low Income	4
65227	63186	Very Low Income	6
65227	63192	Extremely Low Income	18
65227	63192	Low Income	14
65227	63192	Moderate Income	2
65227	63192	Very Low Income	7
65227	63187	Extremely Low Income	23
65227	63187	Low Income	17
65227	63187	Moderate Income	2
65227	63187	Very Low Income	11
65227	63176	Extremely Low Income	15
65227	63176	Low Income	12
65227	63176	Very Low Income	2
65227	806284	Extremely Low Income	12
65227	806284	Low Income	13
65227	806284	Very Low Income	6
65227	99947	Extremely Low Income	19
65227	99947	Low Income	10
65227	99947	Very Low Income	3
65227	99948	Extremely Low Income	21
65227	99948	Low Income	11
65227	99948	Moderate Income	3
65227	99948	Very Low Income	3
65227	104140	Extremely Low Income	31
65227	104140	Low Income	23
65227	104140	Moderate Income	2
65227	104140	Very Low Income	3
65227	110462	Extremely Low Income	11
65227	110462	Low Income	4
65227	110462	Very Low Income	4
65227	110468	Extremely Low Income	7
65227	110468	Low Income	8
65227	110468	Very Low Income	2
65227	110470	Extremely Low Income	8
65227	110470	Low Income	8
65227	110470	Moderate Income	1
65227	110470	Very Low Income	3
65227	49352	Extremely Low Income	4
65227	49352	Low Income	7
65227	49352	Very Low Income	5
65227	49346	Extremely Low Income	5
65227	49346	Low Income	8
65227	49346	Very Low Income	3
65227	49347	Extremely Low Income	28
65227	49347	Low Income	33
65227	49347	Moderate Income	1
65227	49347	Very Low Income	11
65227	110908	Extremely Low Income	6
65227	110908	Low Income	3
65227	110908	Very Low Income	6
65227	99951	Extremely Low Income	13
65227	99951	Low Income	4
65227	99951	Moderate Income	2
65227	99951	Very Low Income	5
57668	966537	Extremely Low Income	119
57668	985850	Extremely Low Income	56
65337	270214	Low Income	15
65337	270214	Very Low Income	4
58889	12608	Extremely Low Income	39
58889	12608	Low Income	279
58889	12608	Moderate Income	1
58889	12608	Other	1
58889	12608	Very Low Income	7
53017	972127	Moderate Income	1
53017	972111	Moderate Income	1
53017	972351	Middle Income	2
53017	972097	Moderate Income	1
53017	972125	Moderate Income	1
53017	972099	Moderate Income	1
53017	972124	Moderate Income	1
53017	972131	Moderate Income	1
53017	972082	Moderate Income	1
53017	972088	Moderate Income	1
53017	972138	Middle Income	2
53017	972084	Moderate Income	1
53017	972128	Moderate Income	1
53017	972080	Moderate Income	1
53017	972133	Middle Income	2
53017	972119	Moderate Income	1
53017	972178	Middle Income	2
53017	972190	Moderate Income	1
53017	972172	Middle Income	2
53017	972195	Moderate Income	1
53017	972186	Moderate Income	1
53017	972171	Middle Income	2
53017	972188	Moderate Income	1
53017	972185	Moderate Income	1
53017	972071	Moderate Income	1
53017	972074	Moderate Income	1
53017	972352	Moderate Income	1
53017	972200	Moderate Income	1
53017	972203	Moderate Income	1
53017	972117	Moderate Income	1
53017	972176	Middle Income	2
53017	972169	Middle Income	2
53017	972143	Middle Income	2
53017	972089	Moderate Income	1
53017	972078	Moderate Income	1
53017	972208	Moderate Income	1
53017	972109	Moderate Income	1
53017	972194	Moderate Income	1
53017	972170	Middle Income	2
53017	972142	Middle Income	2
53017	972140	Middle Income	2
53017	972098	Moderate Income	1
53017	972132	Middle Income	2
53017	972083	Moderate Income	1
53017	972068	Moderate Income	1
53017	972129	Moderate Income	1
53017	972123	Moderate Income	1
53017	972141	Middle Income	2
53017	972354	Moderate Income	1
53017	972146	Middle Income	2
53017	972184	Moderate Income	1
53017	972081	Moderate Income	1
53017	972353	Moderate Income	1
53017	972189	Moderate Income	1
53017	972139	Middle Income	2
53017	972180	Middle Income	2
53017	972181	Middle Income	2
53017	972175	Middle Income	2
53017	972209	Moderate Income	1
53017	972087	Moderate Income	1
53017	972137	Middle Income	2
53017	972118	Moderate Income	1
53017	972130	Moderate Income	1
53017	972177	Middle Income	2
53017	972201	Moderate Income	1
53017	972073	Moderate Income	1
53017	972090	Moderate Income	1
53017	972207	Moderate Income	1
53017	972202	Moderate Income	1
53017	972144	Middle Income	2
53017	972136	Middle Income	2
53017	972210	Moderate Income	1
53017	972193	Moderate Income	1
53017	972197	Moderate Income	1
53017	972192	Moderate Income	1
53017	972198	Moderate Income	1
53017	972211	Moderate Income	1
53017	972149	Middle Income	2
53017	972187	Moderate Income	1
53017	972183	Middle Income	2
53017	972179	Middle Income	2
53017	972191	Moderate Income	1
53017	972173	Middle Income	2
49143	945536	Middle Income	142
49143	945536	Other	102
49143	945536	Very Low Income	62
49147	6125	Moderate Income	15
50813	943824	Other	176
50408	67516	Other	1
50408	67516	Very Low Income	42
50424	528114	Moderate Income	1
50424	552683	Low Income	1
50424	594559	Low Income	1
50424	513272	Moderate Income	1
50424	655268	Moderate Income	1
50424	630308	Moderate Income	1
50424	584952	Moderate Income	1
50424	597766	Moderate Income	1
50424	532806	Low Income	1
50424	532963	Low Income	1
50424	533654	Moderate Income	1
50424	533227	Low Income	1
50424	553308	Low Income	1
50424	565015	Low Income	1
50424	522928	Moderate Income	1
50424	568358	Moderate Income	1
50424	529586	Low Income	1
50424	531912	Low Income	1
50424	597224	Low Income	1
48731	941025	Low Income	12
48731	104337	Low Income	11
48731	121088	Low Income	19
48731	121088	Other	1
48731	941024	Low Income	56
48731	941024	Other	1
53473	74511	Extremely Low Income	100
53473	74511	Other	1
53473	60067	Extremely Low Income	34
53473	60067	Other	1
53245	956798	Low Income	132
53245	956798	Other	1
53245	956798	Very Low Income	19
58863	45604	Low Income	7
58863	45604	Very Low Income	2
58863	116554	Low Income	18
58863	116554	Moderate Income	2
58863	116554	Very Low Income	5
58863	81457	Moderate Income	3
58863	81457	Very Low Income	1
58863	104323	Low Income	11
58863	104323	Very Low Income	4
58863	116542	Low Income	22
58863	104324	Low Income	15
58863	104325	Low Income	11
58863	104325	Very Low Income	5
58863	103709	Low Income	6
58863	842309	Low Income	30
58863	78834	Low Income	27
58863	78834	Very Low Income	5
58863	65828	Low Income	8
58863	115563	Low Income	2
58863	115563	Moderate Income	1
58863	115285	Low Income	17
58863	115285	Very Low Income	10
58863	65479	Low Income	24
58863	65479	Very Low Income	19
58863	64635	Low Income	11
58863	64635	Very Low Income	5
58863	91415	Low Income	8
58863	822663	Low Income	14
58863	822663	Very Low Income	32
58863	92749	Low Income	6
58863	92750	Low Income	1
58863	92750	Moderate Income	1
47838	321654	Low Income	4
47838	308509	Low Income	2
47838	379255	Low Income	7
47838	321766	Low Income	6
47838	357508	Low Income	8
47838	378847	Low Income	8
47838	322621	Low Income	3
47838	322548	Low Income	2
47838	322622	Low Income	3
45326	934081	Low Income	18
45326	934081	Moderate Income	54
45326	934081	Other	1
44250	927161	Extremely Low Income	8
53580	976828	Extremely Low Income	32
53580	976828	Low Income	124
53580	976828	Other	1
51581	64968	Extremely Low Income	3
51581	64968	Low Income	64
51581	64968	Moderate Income	4
51581	64968	Other	1
51581	64968	Very Low Income	7
49517	945811	Low Income	94
49517	945811	Other	1
44865	969852	Low Income	29
44865	969852	Very Low Income	36
48996	972406	Middle Income	11
48996	972405	Low Income	10
50609	215649	Low Income	6
50609	215649	Moderate Income	1
50609	215649	Other	1
50609	215649	Very Low Income	7
54377		Extremely Low Income	1
54377		Low Income	22
54377		Moderate Income	8
54377		Other	1
54377		Very Low Income	18
52405	186854	Low Income	14
52405	186854	Moderate Income	4
52405	186854	Other	1
52405	186854	Very Low Income	1
51565	805574	Low Income	378
51565	805584	Low Income	378
51565	805585	Low Income	186
51565	4623	Low Income	186
51565	4633	Low Income	186
51565	4636	Low Income	378
51565	803934	Low Income	378
51565	31596	Low Income	378
51565	4371	Low Income	186
51565	4360	Low Income	186
53551	11564	Very Low Income	12
53551	968210	Very Low Income	14
44256	988143	Extremely Low Income	129
44256	988143	Low Income	69
44256	988143	Other	1
58733	968123	Extremely Low Income	8
58733	968123	Low Income	22
51051	387522	Other	105
58780	993573	Extremely Low Income	104
58780	993573	Low Income	55
58780	993573	Other	1
58780	993573	Very Low Income	115
61608	985974	Low Income	193
61608	985974	Other	1
61608	985974	Very Low Income	22
61678	981992	Extremely Low Income	67
61678	981992	Low Income	76
61678	981992	Other	1
61678	981992	Very Low Income	34
51868	977499	Extremely Low Income	80
51868	977499	Low Income	120
51868	977499	Middle Income	80
51868	977499	Other	1
51868	977499	Very Low Income	119
51867	927152	Low Income	24
51867	927152	Middle Income	38
51867	927152	Other	1
51867	927152	Very Low Income	16
61841	976015	Extremely Low Income	158
61841	976015	Other	1
61842	976583	Extremely Low Income	145
61842	976583	Other	1
55219	222987	Low Income	47
55219	222987	Very Low Income	74
55219	221260	Low Income	111
55219	221260	Other	1
55219	221260	Very Low Income	189
44333	955937	Extremely Low Income	61
44333	955937	Other	1
52774	974242	Low Income	90
52774	974242	Middle Income	448
52774	974242	Other	1
52022	87500	Very Low Income	51
60319	970855	Low Income	27
60319	970855	Moderate Income	25
60319	970855	Other	1
60342	47636	Extremely Low Income	1
60342	47636	Low Income	72
60342	47636	Very Low Income	53
48910	946091	Other	1
48910	946091	Very Low Income	78
59976	79476	Other	1
59976	79476	Very Low Income	170
44357	958188	Extremely Low Income	54
44357	958188	Low Income	106
44357	958188	Moderate Income	18
44357	958188	Other	1
55050	966963	Extremely Low Income	49
55050	966963	Low Income	114
55050	966963	Other	1
49588	949027	Extremely Low Income	8
49588	949027	Low Income	11
49588	949027	Middle Income	3
49588	949027	Other	32
49588	949027	Other	1
60810	972899	Extremely Low Income	33
60810	972899	Low Income	100
60810	972899	Moderate Income	17
60810	972899	Other	1
60810	972899	Very Low Income	16
44295	965149	Extremely Low Income	11
44295	965149	Low Income	68
44295	965149	Other	1
44295	965149	Very Low Income	22
44295	965150	Extremely Low Income	7
44295	965150	Low Income	10
44295	965150	Very Low Income	11
60020	974093	Extremely Low Income	46
60020	974093	Low Income	102
60020	974093	Other	1
60020	974093	Very Low Income	5
60435	305703	Extremely Low Income	10
60435	306891	Extremely Low Income	11
51249	94237	Other	1
51249	94237	Very Low Income	28
60784	37513	Moderate Income	15
60784	6097	Moderate Income	13
61297	972782	Extremely Low Income	40
61297	972782	Low Income	126
61297	972782	Moderate Income	6
61297	972782	Other	1
61297	972782	Very Low Income	17
64436	984306	Extremely Low Income	28
64436	984306	Low Income	75
64436	984306	Other	1
64436	984306	Very Low Income	31
64436	984304	Extremely Low Income	23
64436	984304	Low Income	67
64436	984304	Other	1
64436	984304	Very Low Income	32
64436	984305	Extremely Low Income	15
64436	984305	Low Income	35
64436	984305	Very Low Income	18
65212	985707	Low Income	27
65212	985707	Moderate Income	44
65212	985707	Other	1
65212	985707	Very Low Income	18
60425	971875	Extremely Low Income	15
60425	971875	Low Income	33
60425	971875	Other	1
60425	971875	Very Low Income	8
50370	186479	Low Income	201
50370	186479	Other	1
63734	927013	Extremely Low Income	88
63734	927013	Other	1
52852	116819	Low Income	25
52852	55755	Low Income	25
52852	116820	Low Income	25
52852	111948	Low Income	69
52852	121014	Low Income	37
61625	92762	Extremely Low Income	49
61625	92762	Very Low Income	3
64745	927166	Extremely Low Income	8
64745	927166	Low Income	14
64745	927166	Moderate Income	15
64745	927166	Other	1
64745	927166	Very Low Income	7
52893	976553	Extremely Low Income	27
52893	976553	Low Income	88
52893	976553	Other	1
52893	976553	Very Low Income	19
62289	976044	Extremely Low Income	50
62289	976044	Low Income	16
62289	976044	Other	1
62289	976044	Very Low Income	4
49959	948186	Extremely Low Income	8
49959	948186	Other	1
49959	948186	Very Low Income	42
65523	42263	Extremely Low Income	6
65523	42263	Low Income	11
65523	42263	Other	1
65523	42263	Very Low Income	4
62211	974229	Extremely Low Income	4
62211	974229	Low Income	35
62211	974229	Moderate Income	5
62211	974229	Other	1
62211	974229	Very Low Income	4
62211	974227	Low Income	28
62211	974227	Moderate Income	4
62211	974227	Other	1
62211	974227	Very Low Income	4
62211	974228	Extremely Low Income	4
62211	974228	Low Income	36
62211	974228	Moderate Income	5
62211	974228	Other	1
62211	974228	Very Low Income	6
48621	120994	Low Income	24
48621	120994	Other	1
48621	120994	Very Low Income	15
48621	100201	Low Income	3
48621	100201	Very Low Income	1
48621	120999	Low Income	11
48621	120999	Very Low Income	10
50184	40739	Low Income	8
50184	40741	Low Income	6
50184	40741	Very Low Income	2
50184	40737	Low Income	8
50184	40735	Low Income	6
50184	40735	Very Low Income	2
50184	28134	Low Income	12
50184	28134	Very Low Income	3
50184	28132	Low Income	14
50184	28132	Other	1
50184	40723	Low Income	8
50184	4083	Low Income	18
50184	4083	Moderate Income	1
50184	4083	Very Low Income	3
50184	4091	Low Income	10
50184	4091	Very Low Income	7
50184	3548	Low Income	8
65543	978829	Extremely Low Income	64
65543	978829	Other	1
65599	77389	Extremely Low Income	1
65599	77389	Low Income	18
65563	11162	Extremely Low Income	1
65563	11162	Low Income	2
65563	11162	Very Low Income	14
65621	197456	Extremely Low Income	119
65621	807684	Extremely Low Income	118
65621	807684	Other	1
65621	807685	Extremely Low Income	119
61612	975696	Extremely Low Income	40
61612	975696	Low Income	116
61612	975696	Other	1
61612	975696	Very Low Income	40
65983	983915	Extremely Low Income	158
65983	983915	Other	1
66005	519642	Extremely Low Income	91
66005	519642	Low Income	7
66005	519642	Very Low Income	44
66005	955177	Extremely Low Income	107
66005	955177	Low Income	7
66005	955177	Very Low Income	30
66005	812161	Extremely Low Income	89
66005	812161	Low Income	7
66005	812161	Very Low Income	48
62227	977442	Extremely Low Income	113
62227	977442	Low Income	49
62227	977442	Other	1
61728	975686	Extremely Low Income	28
61728	975686	Low Income	30
61728	975686	Other	1
61728	975686	Very Low Income	34
61740	973102	Extremely Low Income	83
61740	973102	Other	1
66102	85454	Extremely Low Income	1
66102	85454	Low Income	21
66102	85454	Other	1
66102	85454	Very Low Income	9
54360	979275	Extremely Low Income	2
54360	979275	Low Income	4
54360	979275	Very Low Income	2
54360	979266	Low Income	8
54360	979263	Low Income	8
54360	979276	Low Income	8
54360	979272	Extremely Low Income	2
54360	979272	Low Income	2
54360	979272	Very Low Income	4
54360	979271	Extremely Low Income	1
54360	979271	Low Income	4
54360	979271	Very Low Income	3
54360	979274	Extremely Low Income	2
54360	979274	Low Income	4
54360	979274	Very Low Income	2
54360	979267	Extremely Low Income	2
54360	979267	Low Income	4
54360	979267	Very Low Income	2
54360	979278	Extremely Low Income	2
54360	979278	Low Income	4
54360	979278	Very Low Income	2
54360	979262	Extremely Low Income	3
54360	979262	Low Income	3
54360	979262	Very Low Income	2
54360	979270	Low Income	7
54360	979270	Other	1
54360	979265	Extremely Low Income	2
54360	979265	Low Income	3
54360	979265	Very Low Income	3
54360	979273	Low Income	8
54360	979268	Extremely Low Income	3
54360	979268	Low Income	3
54360	979268	Very Low Income	2
54360	979260	Low Income	8
54360	979264	Extremely Low Income	2
54360	979264	Low Income	3
54360	979264	Very Low Income	3
54360	979277	Extremely Low Income	2
54360	979277	Low Income	4
54360	979277	Very Low Income	2
54360	979261	Extremely Low Income	3
54360	979261	Low Income	3
54360	979261	Very Low Income	2
54360	979269	Extremely Low Income	3
54360	979269	Low Income	3
54360	979269	Very Low Income	2
54360	979259	Extremely Low Income	3
54360	979259	Low Income	4
54360	979259	Very Low Income	1
66558	300675	Moderate Income	1
66558	300675	Very Low Income	4
66565	185041	Very Low Income	2
66565	234969	Extremely Low Income	1
66565	234969	Low Income	5
66565	234969	Moderate Income	1
66565	234969	Very Low Income	3
66565	234962	Low Income	3
66565	234962	Moderate Income	1
66565	234962	Very Low Income	2
66565	234966	Extremely Low Income	1
66565	234966	Low Income	1
66565	234966	Very Low Income	4
66565	234964	Low Income	6
66565	234960	Low Income	3
66565	234960	Very Low Income	3
66565	207556	Extremely Low Income	1
66565	207556	Low Income	2
66565	207556	Other	1
66565	207556	Very Low Income	5
47868	42098	Low Income	12
44324	927213	Low Income	24
44324	927213	Middle Income	52
44324	927213	Moderate Income	26
44324	927213	Other	1
63800	983972	Extremely Low Income	69
63800	983972	Low Income	37
63800	983972	Other	1
63800	983972	Very Low Income	8
52937	965899	Extremely Low Income	153
52937	965899	Other	1
51617	25490	Other	795
51617	805099	Other	795
48608	38692	Low Income	18
48608	38692	Other	1
48608	38692	Very Low Income	4
48608	40238	Low Income	4
48608	957589	Low Income	4
48608	40005	Low Income	15
48608	40005	Other	1
48608	40005	Very Low Income	3
48608	23493	Low Income	8
48608	23493	Very Low Income	2
48608	806050	Low Income	9
48608	39958	Low Income	47
48608	39958	Other	1
48608	39958	Very Low Income	8
49635	524251	Low Income	1
49635	606930	Low Income	1
49635	546603	Low Income	1
49635	606794	Low Income	1
49635	589793	Low Income	1
49635	743473	Low Income	1
49635	509831	Low Income	1
49635	611063	Low Income	1
49635	611062	Low Income	1
49635	607523	Low Income	1
49635	544606	Low Income	1
49635	502964	Low Income	1
49635	524259	Low Income	1
48128	40547	Low Income	6
48128	40547	Other	1
48128	40547	Very Low Income	3
48128	41096	Moderate Income	20
48128	41096	Other	1
48128	38344	Middle Income	6
48128	38344	Very Low Income	10
48128	40557	Low Income	6
48128	40557	Other	1
48128	40557	Very Low Income	4
48128	40553	Low Income	9
48128	40553	Other	1
48128	40553	Very Low Income	11
48128	38995	Middle Income	20
48128	38995	Other	1
44239	927150	Extremely Low Income	12
44239	927150	Low Income	47
44239	927150	Other	1
50347	47143	Low Income	1
50347	47143	Very Low Income	171
50411	958174	Extremely Low Income	16
50411	958174	Low Income	38
50411	958174	Other	1
57536	930918	Other	21
57536	931118	Other	20
57536	906101	Other	20
55036	968113	Extremely Low Income	10
55036	968113	Low Income	34
55036	968113	Other	1
55036	965812	Extremely Low Income	7
55036	965812	Low Income	31
51779	911614	Moderate Income	50
51779	911614	Other	1
51779	911614	Very Low Income	13
54954	967023	Extremely Low Income	15
54954	967023	Low Income	45
54954	967023	Moderate Income	6
54954	967023	Other	1
54954	967023	Very Low Income	8
52775	974241	Low Income	78
52775	974241	Moderate Income	25
52775	974241	Other	1
52775	974241	Very Low Income	26
52539	40896	Middle Income	2
55026	86506	Low Income	20
55026	86506	Middle Income	8
55026	86506	Other	1
55026	86506	Very Low Income	1
55026	53587	Low Income	7
55026	53587	Very Low Income	1
55026	85467	Low Income	7
55026	85467	Middle Income	3
55026	85470	Low Income	7
55026	85470	Middle Income	2
55026	85470	Other	1
55026	86507	Low Income	19
55026	86507	Middle Income	2
55026	86507	Very Low Income	4
55026	86493	Low Income	6
55026	86493	Very Low Income	2
55026	109998	Low Income	11
55026	109998	Middle Income	2
55026	109998	Very Low Income	5
58876	64056	Extremely Low Income	94
58876	64056	Low Income	1
58876	64056	Other	1
58876	64056	Very Low Income	1
58876	62785	Extremely Low Income	93
58876	62785	Low Income	1
58876	62785	Other	1
58876	62785	Very Low Income	2
55264	966135	Extremely Low Income	36
55264	966135	Low Income	83
55264	966135	Other	1
49570	42452	Middle Income	3
49570	10011	Middle Income	3
49570	804217	Middle Income	3
44280	928040	Extremely Low Income	15
44280	928040	Low Income	137
44280	928040	Other	1
44280	928040	Very Low Income	46
44230	927137	Moderate Income	3
44230	967127	Moderate Income	3
44230	967108	Moderate Income	3
44230	967109	Middle Income	2
44230	967109	Moderate Income	1
44230	336151	Moderate Income	3
44230	336111	Moderate Income	3
44230	394346	Middle Income	3
52701	127575	Low Income	128
52701	127575	Very Low Income	87
53077	23627	Low Income	125
53077	23627	Very Low Income	36
52666	970691	Middle Income	42
52666	970691	Other	1
52666	970691	Very Low Income	11
53273	958147	Extremely Low Income	11
53273	958147	Low Income	58
